id,name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g
11111111-1111-1111-1111-111111111111,Eggs,143,13,10,1.1
22222222-2222-2222-2222-222222222222,Cheese,403,25,33,1.3
33333333-3333-3333-3333-333333333333,Pancetta,458,31,36,0
44444444-4444-4444-4444-444444444444,Chicken,165,31,3.6,0
55555555-5555-5555-5555-555555555555,Tomato,18,0.9,0.2,3.9
66666666-6666-6666-6666-666666666666,Beef,250,26,17,0
77777777-7777-7777-7777-777777777777,Rice,130,2.7,0.3,28
88888888-8888-8888-8888-888888888888,Noodles,138,5,0.9,25
99999999-1111-1111-1111-111111111111,Spinach,23,2.9,0.4,3.6
99999999-2222-2222-2222-222222222222,Garlic,149,6.4,0.5,33
99999999-3333-3333-3333-333333333333,Onion,40,1.1,0.1,9.3
99999999-4444-4444-4444-444444444444,Milk,42,3.4,1,4.8
99999999-5555-5555-5555-555555555555,Butter,717,0.9,81,0.1
99999999-6666-6666-6666-666666666666,Flour,364,10,1,76
99999999-7777-7777-7777-777777777777,Carrot,41,0.9,0.2,9.6
99999999-8888-8888-8888-999999999999,Potato,77,2,0.1,17
99999999-9999-9999-9999-999999999999,Peas,81,5.4,0.4,14.5
88888888-1111-1111-1111-111111111111,Apple,52,0.3,0.2,14
88888888-2222-2222-2222-222222222222,Banana,89,1.1,0.3,23
88888888-3333-3333-3333-333333333333,Strawberry,32,0.7,0.3,7.7
88888888-4444-4444-4444-444444444444,Blueberry,57,0.7,0.3,14.5
88888888-5555-5555-5555-555555555555,Orange,47,0.9,0.1,12
88888888-6666-6666-6666-888888888666,Salmon,208,20,13,0
88888888-7777-7777-7777-777777777777,Tuna,132,29,1,0
88888888-8888-8888-8888-888888888889,Avocado,160,2,15,9
88888888-9999-9999-9999-999999999999,Chili Pepper,40,1.9,0.4,8.8
77777777-1111-1111-1111-111111111111,Garbanzo Beans,164,8.9,2.6,27
77777777-2222-2222-2222-222222222222,Black Beans,132,8.9,0.5,23.7
77777777-3333-3333-3333-333333333333,Corn,86,3.3,1.4,19
77777777-4444-4444-4444-444444444444,Red Pepper,31,1,0.3,7.3
77777777-5555-5555-5555-555555555555,Green Pepper,20,0.9,0.2,4.6
77777777-6666-6666-6666-666666666666,Parsley,36,3,0.8,6.3
77777777-7777-7777-7777-777777777778,Basil,22,3.2,0.6,2.6
77777777-8888-8888-8888-888888888889,Thyme,101,5.6,1.7,24
77777777-9999-9999-9999-999999999999,Oregano,265,9,4.3,69
30000000-0000-0000-0000-000000000001,Flour,364,10,1,76
30000000-0000-0000-0000-000000000002,Water,0,0,0,0
30000000-0000-0000-0000-000000000003,Salt,0,0,0,0
30000000-0000-0000-0000-000000000004,Yeast,325,40,7,41
30000000-0000-0000-0000-000000000005,Sourdough Starter,189,7.5,1.3,37
30000000-0000-0000-0000-000000000006,Rye Flour,338,10,1.6,76
30000000-0000-0000-0000-000000000007,Caraway Seeds,333,20,15,50
30000000-0000-0000-0000-000000000008,Olive Oil,884,0,100,0
30000000-0000-0000-0000-000000000009,Herbs,315,8,7,63
30000000-0000-0000-0000-000000000010,Butter,717,0.9,81,0.1
30000000-0000-0000-0000-000000000011,Eggs,143,13,10,1.1
30000000-0000-0000-0000-000000000012,Sugar,387,0,0,100
30000000-0000-0000-0000-000000000013,Milk,42,3.4,1,4.8
30000000-0000-0000-0000-000000000014,Honey,304,0.3,0,82
30000000-0000-0000-0000-000000000015,Basil,22,3.2,0.6,2.6
30000000-0000-0000-0000-000000000016,Garlic,149,6.4,0.5,33
30000000-0000-0000-0000-000000000017,Cornmeal,362,8.1,3.9,79
30000000-0000-0000-0000-000000000018,Yogurt,59,10,0.4,3.6
30000000-0000-0000-0000-000000000019,Rosemary,131,3.3,5.9,21
30000000-0000-0000-0000-000000000020,Thyme,101,5.6,1.7,24
30000000-0000-0000-0000-000000000021,Cinnamon,247,4,1.2,81
30000000-0000-0000-0000-000000000022,Nutmeg,525,5.8,36,49
30000000-0000-0000-0000-000000000023,Cloves,274,6,13,65
30000000-0000-0000-0000-000000000024,Cardamom,311,11,6.8,68
30000000-0000-0000-0000-000000000025,Cumin,375,18,22,44
30000000-0000-0000-0000-000000000026,Paprika,282,14,13,54
30000000-0000-0000-0000-000000000027,Coriander,298,12,18,55
30000000-0000-0000-0000-000000000028,Mustard Seeds,508,26,36,28
30000000-0000-0000-0000-000000000029,Dill,43,3.5,1.1,7
30000000-0000-0000-0000-000000000030,Chives,30,3.3,0.7,4.4
30000000-0000-0000-0000-000000000031,Lemon,29,1.1,0.3,9
30000000-0000-0000-0000-000000000032,Lime,30,0.7,0.2,11
30000000-0000-0000-0000-000000000033,Ginger,80,1.8,0.8,18
30000000-0000-0000-0000-000000000034,Turmeric,354,8,10,65
30000000-0000-0000-0000-000000000035,Sage,315,11,13,61
30000000-0000-0000-0000-000000000036,Bay Leaf,313,7.6,8.4,75
30000000-0000-0000-0000-000000000037,Vanilla,288,0.1,0.1,13
30000000-0000-0000-0000-000000000038,Cocoa Powder,228,20,14,58
30000000-0000-0000-0000-000000000039,Maple Syrup,260,0,0.2,67
30000000-0000-0000-0000-000000000040,Molasses,290,0,0.1,75
30000000-0000-0000-0000-000000000041,Pumpkin,26,1,0.1,7
30000000-0000-0000-0000-000000000042,Sweet Potato,86,1.6,0.1,20
30000000-0000-0000-0000-000000000043,Zucchini,17,1.2,0.3,3.1
30000000-0000-0000-0000-000000000044,Broccoli,34,2.8,0.4,7
30000000-0000-0000-0000-000000000045,Cauliflower,25,1.9,0.3,5
30000000-0000-0000-0000-000000000046,Leek,61,1.5,0.3,14
30000000-0000-0000-0000-000000000047,Shallot,72,2.5,0.1,17
30000000-0000-0000-0000-000000000048,Celery,16,0.7,0.2,3
30000000-0000-0000-0000-000000000049,Artichoke,47,3.3,0.2,11
30000000-0000-0000-0000-000000000050,Asparagus,20,2.2,0.1,3.9
ing-001-1a2b-20250420,Sunflower Seeds,584,21,51,20
ing-002-1a2b-20250420,Pumpkin Seeds,559,19,19,54
ing-003-1a2b-20250420,Quinoa,368,14,6,64
ing-004-1a2b-20250420,Tofu,144,15,9,3
ing-005-1a2b-20250420,Tempeh,193,19,11,9
ing-006-1a2b-20250420,Edamame,121,11,5,8.9
ing-007-1a2b-20250420,Seitan,370,75,1.9,14
ing-008-1a2b-20250420,Tempeh,193,19,11,9
ing-009-1a2b-20250420,Chia Seeds,486,17,31,42
ing-010-1a2b-20250420,Flaxseed,534,18,42,29
ing-011-1a2b-20250420,Hemp Seeds,553,31,49,8
ing-012-1a2b-20250420,Amaranth,371,14,7,65
ing-013-1a2b-20250420,Millet,378,11,4,73
ing-014-1a2b-20250420,Pizza Dough,275,9,4,53
ing-015-1a2b-20250420,Mozzarella Cheese,280,28,17,3.1
ing-016-1a2b-20250420,Romaine Lettuce,14,1.2,0.3,2.7
ing-017-1a2b-20250420,Caesar Dressing,320,2.1,34,4.5
ing-018-1a2b-20250420,Croutons,502,9,23,65
ing-019-1a2b-20250420,Lentils,116,9,0.4,20
ing-020-1a2b-20250420,Vegetable Broth,12,0.4,0.1,2.8
ing-021-1a2b-20250420,Mixed Spices,315,8,7,63
ing-022-1a2b-20250420,Rice Noodles,138,3,0.4,32
ing-023-1a2b-20250420,Shrimp,85,18,1.4,0.9
ing-024-1a2b-20250420,Peanuts,567,26,49,16
ing-025-1a2b-20250420,White Fish,128,26,1.4,0
