id,name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g
11111111-1111-1111-1111-111111111111,Eggs,143,13,10,1.1
22222222-2222-2222-2222-222222222222,Cheese,403,25,33,1.3
33333333-3333-3333-3333-333333333333,Pancetta,458,,,
44444444-4444-4444-4444-444444444444,Chicken,165,31,3.6,0
55555555-5555-5555-5555-555555555555,Tomato,18,,,
66666666-6666-6666-6666-666666666666,Beef,250,,,
77777777-7777-7777-7777-777777777777,Rice,130,2.7,0.3,28
88888888-8888-8888-8888-888888888888,Noodles,138,,,
99999999-1111-1111-1111-111111111111,Spinach,23,,,
99999999-2222-2222-2222-222222222222,Garlic,149,,,
99999999-3333-3333-3333-999999999999,Onion,40,,,
99999999-4444-4444-4444-999999999999,Milk,42,,,
99999999-5555-5555-5555-999999999999,Butter,717,,,
99999999-6666-6666-6666-999999999999,Flour,364,,,
99999999-7777-7777-7777-999999999999,Carrot,41,,,
99999999-8888-8888-8888-999999999999,Potato,77,2,0.1,17
99999999-9999-9999-9999-999999999999,Peas,81,,,
88888888-1111-1111-1111-111111111111,Apple,52,0.3,0.2,14
88888888-2222-2222-2222-222222222222,Banana,89,,,
88888888-3333-3333-3333-888888888333,Strawberry,32,,,
88888888-4444-4444-4444-888888888444,Blueberry,57,,,
88888888-5555-5555-5555-888888888555,Orange,47,,,
88888888-6666-6666-6666-888888888666,Salmon,208,20,13,0
88888888-7777-7777-7777-888888888777,Tuna,132,,,
88888888-8888-8888-8888-888888888889,Avocado,160,,,
88888888-9999-9999-9999-999999999999,Chili Pepper,40,,,
77777777-1111-1111-1111-111111111111,Garbanzo Beans,164,,,
77777777-2222-2222-2222-222222222222,Black Beans,132,8.9,0.5,23.7
77777777-3333-3333-3333-777777777777,Corn,86,,,
77777777-4444-4444-4444-444444444444,Red Pepper,31,,,
77777777-5555-5555-5555-555555555555,Green Pepper,20,,,
77777777-6666-6666-6666-666666666666,Parsley,36,,,
77777777-7777-7777-7777-777777777778,Basil,22,,,
77777777-8888-8888-8888-888888888889,Thyme,101,,,
77777777-9999-9999-9999-999999999999,Oregano,265,,,
30000000-0000-0000-0000-000000000001,Flour,364,,,
30000000-0000-0000-0000-000000000002,Water,0,,,
30000000-0000-0000-0000-000000000003,Salt,0,,,
30000000-0000-0000-0000-000000000004,Yeast,0,,,
30000000-0000-0000-0000-000000000005,Sourdough Starter,0,,,
30000000-0000-0000-0000-000000000006,Rye Flour,0,,,
30000000-0000-0000-0000-000000000007,Caraway Seeds,0,,,
30000000-0000-0000-0000-000000000008,Olive Oil,884,0,100,0
30000000-0000-0000-0000-000000000009,Herbs,0,,,
30000000-0000-0000-0000-000000000010,Butter,717,,,
30000000-0000-0000-0000-000000000011,Eggs,143,13,10,1.1
30000000-0000-0000-0000-000000000012,Sugar,387,,,
30000000-0000-0000-0000-000000000013,Milk,42,,,
30000000-0000-0000-0000-000000000014,Honey,304,,,
30000000-0000-0000-0000-000000000015,Basil,22,,,
30000000-0000-0000-0000-000000000016,Garlic,149,,,
30000000-0000-0000-0000-000000000017,Cornmeal,0,,,
30000000-0000-0000-0000-000000000018,Yogurt,59,,,
30000000-0000-0000-0000-000000000019,Rosemary,0,,,
30000000-0000-0000-0000-000000000020,Thyme,101,,,
30000000-0000-0000-0000-000000000021,Cinnamon,0,,,
30000000-0000-0000-0000-000000000022,Nutmeg,0,,,
30000000-0000-0000-0000-000000000023,Cloves,0,,,
30000000-0000-0000-0000-000000000024,Cardamom,0,,,
30000000-0000-0000-0000-000000000025,Cumin,0,,,
30000000-0000-0000-0000-000000000026,Paprika,0,,,
30000000-0000-0000-0000-000000000027,Coriander,0,,,
30000000-0000-0000-0000-000000000028,Mustard Seeds,0,,,
30000000-0000-0000-0000-000000000029,Dill,0,,,
30000000-0000-0000-0000-000000000030,Chives,0,,,
30000000-0000-0000-0000-000000000031,Lemon,29,,,
30000000-0000-0000-0000-000000000032,Lime,30,,,
30000000-0000-0000-0000-000000000033,Ginger,80,,,
30000000-0000-0000-0000-000000000034,Turmeric,0,,,
30000000-0000-0000-0000-000000000035,Sage,0,,,
30000000-0000-0000-0000-000000000036,Bay Leaf,0,,,
30000000-0000-0000-0000-000000000037,Vanilla,288,,,
30000000-0000-0000-0000-000000000038,Cocoa Powder,228,,,
30000000-0000-0000-0000-000000000039,Maple Syrup,260,,,
30000000-0000-0000-0000-000000000040,Molasses,290,,,
30000000-0000-0000-0000-000000000041,Pumpkin,26,,,
30000000-0000-0000-0000-000000000042,Sweet Potato,86,,,
30000000-0000-0000-0000-000000000043,Zucchini,17,,,
ing-001-1a2b-20250420,Sunflower Seeds,584,21,51,20
ing-002-1a2b-20250420,Pumpkin Seeds,446,19,19,54
ing-003-1a2b-20250420,Quinoa,368,14,6,64
ing-201-1a2b-20250420,Flour,364,10,1,76
ing-202-1a2b-20250420,Sugar,387,0,0,100
ing-203-1a2b-20250420,Cinnamon,247,4,1.2,81
ing-004-1a2b-20250420,Tofu,144,,,
ing-005-1a2b-20250420,Tempeh,193,,,
ing-006-1a2b-20250420,Edamame,121,,,
ing-007-1a2b-20250420,Seitan,370,,,
ing-008-1a2b-20250420,Tempeh,193,,,
ing-009-1a2b-20250420,Chia Seeds,486,,,
ing-010-1a2b-20250420,Flaxseed,534,,,
ing-011-1a2b-20250420,Hemp Seeds,553,,,
ing-012-1a2b-20250420,Amaranth,371,,,
ing-013-1a2b-20250420,Millet,378,,,
ing-014-1a2b-20250420,Pizza Dough,275,,,
ing-501-1a2b-20250420,Seafood Mix,85,16,1,2
ing-502-1a2b-20250420,Fish Stock,20,3,0.2,1
ing-503-1a2b-20250420,Saffron,310,11,6,65
