id,name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g
ing-501-1a2b-20250420,Seafood Mix,85,16,1,2
ing-502-1a2b-20250420,Fish Stock,20,3,0.2,1
ing-503-1a2b-20250420,Saffron,310,11,6,65
11111111-1111-1111-1111-111111111111,Eggs,143,13,10,1.1
22222222-2222-2222-2222-222222222222,Cheese,403,25,33,1.3
33333333-3333-3333-3333-333333333333,Pancetta,458,31,36,0
44444444-4444-4444-4444-444444444444,Chicken,165,31,3.6,0
55555555-5555-5555-5555-555555555555,Tomato,18,0.9,0.2,3.9
66666666-6666-6666-6666-666666666666,Beef,250,26,17,0
77777777-7777-7777-7777-777777777777,Rice,130,2.7,0.3,28
88888888-8888-8888-8888-888888888888,Noodles,138,5,0.9,25
99999999-1111-1111-1111-111111111111,Spinach,23,2.9,0.4,3.6
99999999-2222-2222-2222-222222222222,Garlic,149,6.4,0.5,33
99999999-3333-3333-3333-999999999999,Onion,40,1.1,0.1,9.3
99999999-4444-4444-4444-999999999999,Milk,42,3.4,1,4.8
99999999-5555-5555-5555-999999999999,Butter,717,0.9,81,0.1
99999999-6666-6666-6666-999999999999,Flour,364,10,1,76
99999999-7777-7777-7777-999999999999,Carrot,41,0.9,0.2,9.6
99999999-8888-8888-8888-999999999999,Potato,77,2,0.1,17
99999999-9999-9999-9999-999999999999,Peas,81,5.4,0.4,14.5
88888888-1111-1111-1111-111111111111,Apple,52,0.3,0.2,14
88888888-2222-2222-2222-222222222222,Banana,89,1.1,0.3,23
88888888-3333-3333-3333-888888888333,Strawberry,32,0.7,0.3,7.7
88888888-4444-4444-4444-888888888444,Blueberry,57,0.7,0.3,14.5
88888888-5555-5555-5555-888888888555,Orange,47,0.9,0.1,12
88888888-6666-6666-6666-888888888666,Salmon,208,20,13,0
88888888-7777-7777-7777-888888888777,Tuna,132,29,1,0
88888888-8888-8888-8888-888888888889,Avocado,160,2,15,9
88888888-9999-9999-9999-999999999999,Chili Pepper,40,1.9,0.4,8.8
77777777-1111-1111-1111-111111111111,Garbanzo Beans,164,8.9,2.6,27
77777777-2222-2222-2222-222222222222,Black Beans,132,8.9,0.5,23.7
77777777-3333-3333-3333-777777777777,Corn,86,3.3,1.4,19
77777777-4444-4444-4444-444444444444,Red Pepper,31,1,0.3,7.3
77777777-5555-5555-5555-555555555555,Green Pepper,20,0.9,0.2,4.6
77777777-6666-6666-6666-666666666666,Parsley,36,3,0.8,6.3
77777777-7777-7777-7777-777777777778,Basil,22,3.2,0.6,2.6
77777777-8888-8888-8888-888888888889,Thyme,101,5.6,1.7,24
77777777-9999-9999-9999-999999999999,Oregano,265,9,4.3,69
30000000-0000-0000-0000-000000000001,Flour,364,10,1,76
30000000-0000-0000-0000-000000000002,Water,0,0,0,0
30000000-0000-0000-0000-000000000003,Salt,0,0,0,0
30000000-0000-0000-0000-000000000004,Yeast,325,40,7,41
30000000-0000-0000-0000-000000000005,Sourdough Starter,189,7.5,1.3,37
30000000-0000-0000-0000-000000000006,Rye Flour,338,10,1.6,76
30000000-0000-0000-0000-000000000007,Caraway Seeds,333,20,15,50
30000000-0000-0000-0000-000000000008,Olive Oil,884,0,100,0
30000000-0000-0000-0000-000000000009,Herbs,315,8,7,63
30000000-0000-0000-0000-000000000010,Butter,717,0.9,81,0.1
30000000-0000-0000-0000-000000000011,Eggs,143,13,10,1.1
30000000-0000-0000-0000-000000000012,Sugar,387,0,0,100
30000000-0000-0000-0000-000000000013,Milk,42,3.4,1,4.8
30000000-0000-0000-0000-000000000014,Honey,304,0.3,0,82
30000000-0000-0000-0000-000000000015,Basil,22,3.2,0.6,2.6
30000000-0000-0000-0000-000000000016,Garlic,149,6.4,0.5,33
30000000-0000-0000-0000-000000000017,Cornmeal,362,8.1,3.9,79
30000000-0000-0000-0000-000000000018,Yogurt,59,10,0.4,3.6
30000000-0000-0000-0000-000000000019,Rosemary,131,3.3,5.9,21
30000000-0000-0000-0000-000000000020,Thyme,101,5.6,1.7,24
30000000-0000-0000-0000-000000000021,Cinnamon,247,4,1.2,81
30000000-0000-0000-0000-000000000022,Nutmeg,525,5.8,36,49
30000000-0000-0000-0000-000000000023,Cloves,274,6,13,65
30000000-0000-0000-0000-000000000024,Cardamom,311,11,6.8,68
30000000-0000-0000-0000-000000000025,Cumin,375,18,22,44
30000000-0000-0000-0000-000000000026,Paprika,282,14,13,54
30000000-0000-0000-0000-000000000027,Coriander,298,12,18,55
