recipe_id,ingredient_id,quantity
"029db3d1-4f21-4e98-ab32-aef892d9fb73",ing-001-1a2b-20250420,"1 lb"
"029db3d1-4f21-4e98-ab32-aef892d9fb73",ing-002-1a2b-20250420,"4 tbsp"
"029db3d1-4f21-4e98-ab32-aef892d9fb73",ing-003-1a2b-20250420,"1/2 cup"
"f75e4594-f135-4331-a956-32297cb20ac4",ing-004-1a2b-20250420,"2 lbs"
"f75e4594-f135-4331-a956-32297cb20ac4",ing-005-1a2b-20250420,"1 cup"
"f75e4594-f135-4331-a956-32297cb20ac4",ing-006-1a2b-20250420,"3 tbsp"
"ab6ce13f-4a2b-4d82-993e-4b4f5d808463",ing-007-1a2b-20250420,"1.5 lbs"
"ab6ce13f-4a2b-4d82-993e-4b4f5d808463",ing-008-1a2b-20250420,"1 cup"
"ab6ce13f-4a2b-4d82-993e-4b4f5d808463",ing-009-1a2b-20250420,"2 tbsp"
"e5201de7-cf30-4769-98bf-3cd69c763a2a",ing-010-1a2b-20250420,"2 cups"
"e5201de7-cf30-4769-98bf-3cd69c763a2a",ing-011-1a2b-20250420,"3 tbsp"
"e5201de7-cf30-4769-98bf-3cd69c763a2a",ing-012-1a2b-20250420,"1/4 cup"
"e8a24dce-6266-4148-b19c-8eb7cee14ba0",ing-013-1a2b-20250420,"8 oz"
"e8a24dce-6266-4148-b19c-8eb7cee14ba0",ing-014-1a2b-20250420,"1"
"e8a24dce-6266-4148-b19c-8eb7cee14ba0",ing-015-1a2b-20250420,"10 leaves"
"0c5003e6-6e87-47fe-8b85-48646d935ec6",ing-016-1a2b-20250420,"2 heads"
"0c5003e6-6e87-47fe-8b85-48646d935ec6",ing-017-1a2b-20250420,"1/2 cup"
"0c5003e6-6e87-47fe-8b85-48646d935ec6",ing-018-1a2b-20250420,"1 cup"
"ed6a19d8-84a4-49ef-a29a-b39631316ea9",ing-019-1a2b-20250420,"2 cups"
"ed6a19d8-84a4-49ef-a29a-b39631316ea9",ing-020-1a2b-20250420,"4 cups"
"ed6a19d8-84a4-49ef-a29a-b39631316ea9",ing-021-1a2b-20250420,"1 tbsp"
